County,Dist,District,"2016-17 Total
K-12 Aid",Governor's Budget Message (GBM) 2017-2018 Total Aid,2017-18 Approp. Act Revised Total K-12 Aid,"Equalization
Aid","Educational
Adequacy Aid",Choice Aid,"Transportation
Aid","Special
Education Categorical Aid","Security
Aid","Under
Adequacy Aid","Supplemental
Enrollment
Growth Aid","PARCC
Readiness Aid","Per Pupil
Growth Aid","Adjustment
Aid","Professional
Learning
Community
Aid","Host District
Support Aid",2017-18 Approp. Act Revised Total K-12 Aid,"One Year
K-12 Aid
Difference",Aid Percent Difference
BURLINGTON,840,CINNAMINSON TWP,"9,052,948","9,053,176","9,070,845","7,371,587",0,0,"185,546","1,385,471","57,475",0,0,"23,210","23,210",0,"23,955",391,"9,070,845","17,897",0.20%
BURLINGTON,1030,DELANCO TWP,"2,492,244","2,492,244","2,492,244","2,105,710",0,0,"27,622","317,297","25,925",0,0,"5,300","5,300",0,"5,090",0,"2,492,244",0,0.00%
BURLINGTON,1060,DELRAN TWP,"11,649,439","11,650,118","12,517,676","10,451,665",0,0,"136,244","1,736,961","88,152","14,105",0,"29,660","29,660",0,"30,550",679,"12,517,676","868,237",7.45%
BURLINGTON,1250,EASTAMPTON TWP,"4,647,677","4,647,677","4,590,695","4,148,569",0,0,"16,953","389,996","17,257",0,0,"6,010","6,010",0,"5,900",0,"4,590,695","-56,982",-1.23%
BURLINGTON,1280,EDGEWATER PARK TWP,"6,676,517","6,676,517","6,860,711","5,835,068",0,0,"146,445","592,870","250,922","4,746",0,"10,300","10,300",0,"10,060",0,"6,860,711","184,194",2.76%
BURLINGTON,1420,EVESHAM TWP,"13,519,426","13,519,426","13,519,426","9,135,441",0,0,"1,295,334","2,610,392","347,614",0,0,"44,200","44,200",0,"42,245",0,"13,519,426",0,0.00%
BURLINGTON,1520,FLORENCE TWP,"9,663,635","9,663,635","9,672,880","8,371,715",0,0,"104,945","1,024,804","110,028","7,868",0,"17,910","17,910",0,"17,700",0,"9,672,880","9,245",0.10%
BURLINGTON,1910,HAINESPORT TWP,"1,397,036","1,397,036","1,369,095","689,609",0,0,"149,208","381,603","57,433","4,376",0,"6,455","6,455","68,061","5,895",0,"1,369,095","-27,941",-2.00%
BURLINGTON,2610,LENAPE REGIONAL,"28,686,546","28,686,546","28,686,546","22,738,228",0,0,"785,083","4,238,655","448,023",0,0,"70,220","70,220","268,497","67,620",0,"28,686,546",0,0.00%
BURLINGTON,2850,LUMBERTON TWP,"8,208,497","8,208,497","8,176,517","6,879,838",0,0,"208,437","903,723","141,349",0,0,"14,840","14,840",0,"13,490",0,"8,176,517","-31,980",-0.39%
BURLINGTON,2960,MANSFIELD TWP,"615,471","615,471","627,556","59,647",0,0,"104,486","393,264","50,397",0,0,"6,830","6,830",2,"6,100",0,"627,556","12,085",1.96%
BURLINGTON,3010,MAPLE SHADE TWP,"8,650,279","8,650,279","9,192,188","7,665,842",0,0,"85,205","1,222,775","124,422","27,454",0,"22,080","22,080",0,"22,330",0,"9,192,188","541,909",6.27%
BURLINGTON,3070,MEDFORD LAKES BORO,"1,144,817","1,144,817","1,220,483","868,380",0,0,"8,189","317,108","9,036","2,090",0,"5,170","5,170",0,"5,340",0,"1,220,483","75,666",6.61%
BURLINGTON,3080,MEDFORD TWP,"4,769,108","4,769,108","4,769,108","2,700,883",0,0,"230,547","1,680,355","78,003",0,0,"26,465","26,465",0,"26,390",0,"4,769,108",0,0.00%
BURLINGTON,3360,MOORESTOWN TWP,"3,193,484","3,193,484","3,268,702",0,0,0,"398,682","2,443,267","314,058",0,0,"37,815","37,815",0,"37,065",0,"3,268,702","75,218",2.36%
BURLINGTON,3430,MOUNT HOLLY TWP,"10,031,294","10,031,294","10,044,255","8,048,990",0,0,"127,355","546,275","267,312",0,0,"9,550","9,550","1,025,803","9,420",0,"10,044,255","12,961",0.13%
BURLINGTON,3440,MOUNT LAUREL TWP,"4,433,463","4,433,464","4,512,427",0,0,0,"1,648,462","2,405,536","337,731",0,0,"38,785","38,785","3,387","39,740",1,"4,512,427","78,964",1.78%
BURLINGTON,3540,NEW HANOVER TWP,"2,410,204","2,410,204","2,413,419","1,920,834",0,0,"161,552","139,209","49,643",0,0,"2,360","2,360","135,141","2,320",0,"2,413,419","3,215",0.13%
BURLINGTON,3650,NORTH HANOVER TWP,"11,531,559","11,531,559","11,604,992","9,802,823",0,0,"427,515","599,422","192,147","145,182",0,"11,980","11,980","403,273","10,670",0,"11,604,992","73,433",0.64%
BURLINGTON,3690,NORTHERN BURLINGTON REG,"12,420,510","12,428,812","12,714,206","10,397,546",0,"423,402","576,863","1,088,835","154,488",0,0,"21,780","21,780","8,302","21,210",0,"12,714,206","293,696",2.37%
BURLINGTON,3920,PALMYRA BORO,"4,755,011","4,755,011","4,807,229","3,932,441",0,0,"97,770","477,653","158,534","11,616",0,"8,930","8,930","102,575","8,780",0,"4,807,229","52,218",1.10%
