YEAR,COUNTY_NAME,DISTRICT_NAME,DIST_CODE,K-12_2014-2015_TOTAL AID,EQUALIZATION_AID,EDUCATIONAL_ADEQUACY_AID,CHOICE_AID,TRANSPORTATION_AID,SPECIAL_EDUCATION_CATEGORICAL_AID,SECURITY_AID,UNDER_ADEQUACY_AID,SUPPLEMENTAL_ENROLLMENT_GROWTH_AID,PARCC_READINESS_AID,PER_PUPIL_GROWTH_AID,ADJUSTMENT_AID,ADDITIONAL_ADJUSTMENT_AID,TOTAL,ONE _YEAR_AID_CHANGE
2015-2016,BURLINGTON,MEDFORD LAKES BORO,3070,"1,131,125","791,104",0,0,"7,335","312,385","7,871","2,090",0,"5,170","5,170",0,0,1131125.00,0
2015-2016,BURLINGTON,MEDFORD TWP,3080,"4,742,718","2,700,883",0,0,"230,547","1,680,355","78,003",0,0,"26,465","26,465",0,0,4742718.00,0
2015-2016,BURLINGTON,MOORESTOWN TWP,3360,"3,112,139",0,0,0,"381,205","2,341,784","313,520",0,0,"37,815","37,815",0,0,3112139.00,0
2015-2016,BURLINGTON,MOUNT HOLLY TWP,3430,"10,005,259","7,996,220",0,0,"128,424","537,492","265,020",0,0,"9,550","9,550","1,059,003",0,10005259.00,0
2015-2016,BURLINGTON,MOUNT LAUREL TWP,3440,"4,342,882",0,0,0,"1,636,080","2,290,692","335,153",0,0,"38,785","38,785",0,"3,387",4342882.00,0
2015-2016,BURLINGTON,NEW HANOVER TWP,3540,"2,401,887","1,908,481",0,0,"162,889","137,160","48,594",0,0,"2,360","2,360","140,043",0,2401887.00,0
2015-2016,BURLINGTON,NORTH HANOVER TWP,3650,"11,440,688","9,648,284",0,0,"426,591","588,916","189,856","145,182",0,"11,980","11,980","417,899",0,11440688.00,0
2015-2016,BURLINGTON,NORTHERN BURLINGTON REG,3690,"12,239,473","10,071,884",0,"415,100","558,546","1,064,239","152,560",0,0,"21,780","21,780",0,"8,302",12314191.00,"74,718"
2015-2016,BURLINGTON,PALMYRA BORO,3920,"4,712,213","3,854,272",0,0,"97,930","468,409","155,831","11,616",0,"8,930","8,930","106,295",0,4712213.00,0
2015-2016,BURLINGTON,PEMBERTON TWP,4050,"83,440,635","44,411,804",0,"40,590","2,475,702","2,619,559","1,269,289",0,0,"47,520","47,520","32,419,492","149,749",83481225.00,"40,590"
2015-2016,BURLINGTON,RANCOCAS VALLEY REGIONAL,4320,"16,008,477","13,307,513",0,0,"957,133","1,209,933","215,416",0,0,"20,060","20,060","278,362",0,16008477.00,0
2015-2016,BURLINGTON,RIVERSIDE TWP,4450,"10,849,800","9,997,701",0,0,"44,573","690,094","72,973","19,179",0,"12,640","12,640",0,0,10849800.00,0
2015-2016,BURLINGTON,RIVERTON,4460,"542,223","288,342",0,0,"26,068","189,928","30,765",0,0,"3,560","3,560",0,0,542223.00,0
2015-2016,BURLINGTON,SHAMONG TWP,4740,"4,244,351","3,430,365",0,0,"224,964","507,214","65,308",0,0,"8,250","8,250",0,0,4244351.00,0
2015-2016,BURLINGTON,SOUTHAMPTON TWP,4930,"2,128,246","425,897",0,0,"366,769","455,453","71,701",0,0,"7,280","7,280","793,866",0,2128246.00,0
2015-2016,BURLINGTON,SPRINGFIELD TWP,5010,"1,213,549","763,643",0,0,"139,769","159,516","22,191",0,0,"2,420","2,420","100,078","23,512",1213549.00,0
2015-2016,BURLINGTON,TABERNACLE TWP,5130,"5,466,194","3,405,745",0,0,"337,115","465,120","66,283",0,0,"7,330","7,330","1,177,271",0,5466194.00,0
2015-2016,BURLINGTON,WASHINGTON TWP,5490,"648,118","145,352",0,"71,868","84,355","51,627","9,596",0,0,960,960,"283,400","23,956",672074.00,"23,956"
2015-2016,BURLINGTON,WESTAMPTON,5720,"3,699,887","2,855,291",0,0,"162,007","549,308","91,358","22,243",0,"9,840","9,840",0,0,3699887.00,0
2015-2016,BURLINGTON,WILLINGBORO TWP,5805,"38,413,730","34,387,336",0,0,"470,570","2,391,334","1,086,670",0,0,"38,910","38,910",0,0,38413730.00,0
2015-2016,BURLINGTON,WOODLAND TWP,5890,"907,323","703,702",0,0,"57,862","86,673","14,739",0,0,"1,430","1,430","41,487",0,907323.00,0
2015-2016,CAMDEN,AUDUBON BORO,150,"8,210,951","5,833,566",0,"939,960","62,679","698,294","129,718","25,300",0,"13,430","13,430","530,382",0,8246759.00,"35,808"
2015-2016,CAMDEN,BARRINGTON BORO,190,"3,253,998","2,677,918",0,0,"20,628","518,323","20,049",0,0,"8,540","8,540",0,0,3253998.00,0
2015-2016,CAMDEN,BELLMAWR BORO,260,"5,110,592","4,175,821",0,"160,144","9,872","602,816","56,414","104,103",0,"10,720","10,720",0,0,5130610.00,"20,018"
2015-2016,CAMDEN,BERLIN BORO,330,"3,664,608","2,999,343",0,0,"49,114","488,215","33,172","77,184",0,"8,790","8,790",0,0,3664608.00,0
2015-2016,CAMDEN,BERLIN TWP,340,"5,591,872","4,489,028",0,"334,240","48,199","438,670","130,164",0,0,"7,590","7,590",0,"136,391",5591872.00,0
