County,Dist,District,"FY19 
K to 12 Aid","Equalization
Aid","Educational
Adequacy Aid","Proj FY20
Choice Aid","Transportation
Aid","Special
Education Aid","Security
Aid","Adjustment
Aid",Vocational Expansion Stabilization Aid,"FY20 
K to 12 Aid","FY19- FY20
K to 12 Aid
Difference",Aid Percent Difference
Bergen,5430,Wallington Boro,"4,949,440","3,665,585",0,0,"166,028","1,179,528","258,918",0,0,"5,270,059","320,619",6.48%
Bergen,5755,Westwood Regional,"2,041,361",0,0,0,"422,522","1,734,763","55,037",0,0,"2,212,322","170,961",8.38%
Bergen,5830,Wood-Ridge Boro,"883,186","79,500",0,0,"118,852","725,253","22,479",0,0,"946,084","62,898",7.12%
Bergen,5880,Woodcliff Lake Boro,"443,118",0,0,0,"62,505","383,293","44,572",0,0,"490,370","47,252",10.66%
Bergen,5920,Wyckoff Twp,"1,226,819",0,0,0,"277,625","958,473","118,034",0,0,"1,354,132","127,313",10.38%
Burlington,200,Bass River Twp,"856,620","638,484",0,0,"29,712","81,213","26,554","51,190",0,"827,153","-29,467",-3.44%
Burlington,380,Beverly City,"3,660,332","2,543,698",0,0,"193,173","182,606","105,269","758,309",0,"3,783,055","122,723",3.35%
Burlington,475,Bordentown Regional,"8,693,997","7,115,950",0,0,"729,374","1,470,071","71,779",0,0,"9,387,174","693,177",7.97%
Burlington,600,Burlington City,"16,734,628","13,886,166",0,0,"205,655","935,688","480,795","1,244,633",0,"16,752,937","18,309",0.11%
Burlington,610,Burlington Co Vocational,"14,656,986","13,228,997",0,0,0,"1,264,555","244,568",0,0,"14,738,120","81,134",0.55%
Burlington,620,Burlington Twp,"20,020,154","16,314,322",0,0,"1,741,167","2,355,238","533,760",0,0,"20,944,487","924,333",4.62%
Burlington,830,Chesterfield Twp,"2,403,780","1,798,701",0,0,"143,738","654,710","60,146",0,0,"2,657,295","253,515",10.55%
Burlington,840,Cinnaminson Twp,"9,297,616","7,746,535",0,0,"483,083","1,385,471","57,475",0,0,"9,672,564","374,948",4.03%
Burlington,1030,Delanco Twp,"2,497,232","2,105,710",0,0,"48,300","341,376","25,925",0,0,"2,521,311","24,079",0.96%
Burlington,1060,Delran Twp,"14,114,510","12,070,183",0,0,"516,610","2,561,908","418,930",0,0,"15,567,631","1,453,121",10.30%
Burlington,1250,Eastampton Twp,"4,544,057","4,107,851",0,0,0,"389,996","5,492",0,0,"4,503,339","-40,718",-0.90%
Burlington,1280,Edgewater Park Twp,"7,203,747","6,287,636",0,0,"470,640","592,870","305,169",0,0,"7,656,315","452,568",6.28%
Burlington,1420,Evesham Twp,"13,088,470","8,210,603",0,0,"546,377","3,024,808","381,844",0,0,"12,163,632","-924,838",-7.07%
Burlington,1520,Florence Twp,"9,769,215","8,371,715",0,0,"262,668","1,119,158","110,028",0,0,"9,863,569","94,354",0.97%
Burlington,1910,Hainesport Twp,"1,331,665","604,261",0,0,"137,699","441,909","62,448",0,0,"1,246,317","-85,348",-6.41%
Burlington,2610,Lenape Regional,"28,299,836","21,776,928",0,0,"874,930","4,238,655","448,023",0,0,"27,338,536","-961,300",-3.40%
Burlington,2850,Lumberton Twp,"8,037,272","6,478,048",0,0,"73,845","906,745","176,844",0,0,"7,635,482","-401,790",-5.00%
Burlington,2960,Mansfield Twp,"665,705","59,647",0,0,"162,397","394,306","50,397",0,0,"666,747","1,042",0.16%
Burlington,3010,Maple Shade Twp,"10,262,185","8,871,517",0,0,"587,335","1,384,544","624,464",0,0,"11,467,860","1,205,675",11.75%
Burlington,3070,Medford Lakes Boro,"1,489,202","1,049,022",0,0,"26,367","461,143","42,839",0,0,"1,579,371","90,169",6.06%
Burlington,3080,Medford Twp,"4,699,821","2,588,535",0,0,"240,580","1,680,355","78,003",0,0,"4,587,473","-112,348",-2.39%
Burlington,3360,Moorestown Twp,"3,575,367",0,0,0,"818,042","2,640,035","314,058",0,0,"3,772,135","196,768",5.50%
Burlington,3430,Mount Holly Twp,"10,295,362","8,335,842",0,0,"127,355","755,237","337,977","1,025,803",0,"10,582,214","286,852",2.79%
Burlington,3440,Mount Laurel Twp,"4,836,580",0,0,0,"2,093,313","2,590,889","337,731",0,0,"5,021,933","185,353",3.83%
Burlington,3540,New Hanover Twp,"2,430,790","1,920,834",0,0,"161,552","152,726","78,055","50,260",0,"2,363,427","-67,363",-2.77%
Burlington,3650,North Hanover Twp,"11,803,550","9,890,897",0,0,"488,491","842,583","192,147","403,273",0,"11,817,391","13,841",0.12%
Burlington,3690,Northern Burlington Reg,"13,395,709","10,892,718",0,"489,707","1,212,916","1,088,835","206,047",0,0,"13,890,223","494,514",3.69%
Burlington,3920,Palmyra Boro,"5,047,591","3,988,761",0,0,"97,770","696,197","218,608","102,575",0,"5,103,911","56,320",1.12%
Burlington,4050,Pemberton Twp,"80,777,705","44,597,100",0,"95,789","2,481,707","3,488,912","1,398,487","26,030,478",0,"78,092,473","-2,685,232",-3.32%
Burlington,4320,Rancocas Valley Regional,"16,293,099","13,354,556",0,0,"1,109,889","1,251,944","308,091","256,557",0,"16,281,037","-12,062",-0.07%
Burlington,4450,Riverside Twp,"11,731,972","11,099,812",0,0,"187,558","827,038","439,613",0,0,"12,554,021","822,049",7.01%
Burlington,4460,Riverton,"541,828","262,501",0,0,"19,613","204,103","33,553",0,0,"519,770","-22,058",-4.07%
Burlington,4740,Shamong Twp,"4,194,324","3,266,834",0,0,"191,437","507,214","65,308",0,0,"4,030,793","-163,531",-3.90%
Burlington,4930,Southampton Twp,"2,039,897","425,897",0,0,"420,886","489,699","94,037","499,032",0,"1,929,551","-110,346",-5.41%
Burlington,5010,Springfield Twp,"1,142,734","709,768",0,0,"139,769","159,516","22,357",0,0,"1,031,410","-111,324",-9.74%
Burlington,5130,Tabernacle Twp,"5,229,442","3,405,745",0,0,"344,597","543,635","66,283","556,289",0,"4,916,549","-312,893",-5.98%
Burlington,5490,Washington Twp,"612,248","145,473",0,0,"83,884","52,560","9,777","241,115",0,"532,809","-79,439",-12.97%
Burlington,5720,Westampton,"3,937,830","2,998,709",0,0,"408,807","571,393","93,300",0,0,"4,072,209","134,379",3.41%
Burlington,5805,Willingboro Twp,"38,902,511","34,319,716",0,0,"1,015,853","2,391,334","1,086,670",0,0,"38,813,573","-88,938",-0.23%
Burlington,5890,Woodland Twp,"900,238","678,769",0,0,"63,364","100,588","16,311",0,0,"859,032","-41,206",-4.58%
Camden,150,Audubon Boro,"8,804,677","6,131,330",0,"1,024,191","73,419","1,046,915","200,391","450,596",0,"8,926,842","122,165",1.39%
Camden,190,Barrington Boro,"3,427,290","2,748,935",0,0,"75,087","557,456","81,247",0,0,"3,462,725","35,435",1.03%
Camden,260,Bellmawr Boro,"6,327,656","5,443,356",0,"148,888","74,021","931,640","337,882",0,0,"6,935,787","608,131",9.61%
Camden,330,Berlin Boro,"3,911,932","3,116,148",0,0,"254,835","521,625","98,331",0,0,"3,990,939","79,007",2.02%
Camden,340,Berlin Twp,"5,895,815","4,488,532",0,"446,307","270,602","448,106","208,615",0,0,"5,862,162","-33,653",-0.57%
Camden,390,Black Horse Pike Regional,"34,123,559","31,069,971",0,0,"875,368","2,425,197","163,463",0,0,"34,533,999","410,440",1.20%
Camden,580,Brooklawn Boro,"4,425,405","3,548,810",0,"469,328","17,795","271,023","110,945","75,296",0,"4,493,197","67,792",1.53%
Camden,680,Camden City,"282,029,317","218,062,833",0,0,"4,491,244","9,745,700","7,024,657","45,048,515",0,"284,372,949","2,343,632",0.83%
Camden,700,Camden County Vocational,"23,608,172","21,576,784",0,0,0,"1,725,942","742,267",0,0,"24,044,993","436,821",1.85%
Camden,800,Cherry Hill Twp,"17,295,270","7,821,405",0,0,"2,884,053","6,480,802","1,238,638",0,0,"18,424,898","1,129,628",6.53%
Camden,810,Chesilhurst,"2,420,230","1,533,518",0,0,"170,166","95,861","50,877","489,246",0,"2,339,668","-80,562",-3.33%
Camden,880,Clementon Boro,"6,378,661","6,049,406",0,0,"78,718","371,383","135,485",0,0,"6,634,992","256,331",4.02%
Camden,940,Collingswood Boro,"10,484,844","7,872,265",0,"350,401","176,430","1,012,100","341,486","783,307",0,"10,535,989","51,145",0.49%
Camden,1255,Eastern Camden County Reg,"9,224,954","7,268,037",0,0,"448,029","1,217,428","166,156",0,0,"9,099,650","-125,304",-1.36%
