Population,Zip
29101,7054
70215,7055
11432,7057
6163,7058
15574,7059
44793,7060
12571,7062
14552,7063
3469,7064
27701,7065
14882,7066
17792,7067
5813,7068
6130,7069
18201,7070
20841,7071
6155,7072
9091,7073
2729,7074
8071,7075
23561,7076
2561,7077
12912,7078
16435,7079
23543,7080
16249,7081
5107,7082
53503,7083
12829,7086
67566,7087
3412,7088
30599,7090
6763,7092
61919,7093
17106,7094
20722,7095
12922,7102
30432,7103
50813,7104
50466,7105
30675,7106
37788,7107
24053,7108
35973,7109
28384,7110
54144,7111
25935,7112
14352,7114
24719,7201
42177,7202
21212,7203
13384,7204
21538,7205
26860,7206
32132,7208
37472,7302
40750,7304
63033,7305
53767,7306
43283,7307
12644,7310
435,7311
6595,7401
7693,7403
17809,7405
19685,7407
32659,7410
5952,7416
10655,7417
2065,7418
8800,7419
4517,7420
7072,7421
6308,7422
4109,7423
26416,7424
26042,7430
7180,7432
2267,7435
12830,7436
11566,7438
2399,7439
4862,7440
11126,7442
10675,7444
14570,7446
25175,7450
11699,7452
12273,7456
3798,7457
11420,7458
3543,7460
19416,7461
7130,7462
9704,7463
6625,7465
54849,7470
16881,7480
16807,7481
0,7495
31509,7501
14685,7502
19960,7503
12866,7504
2376,7505
18868,7506
22671,7508
10833,7512
11903,7513
18738,7514
20869,7522
13014,7524
43466,7601
8231,7603
11896,7604
9060,7605
2371,7606
9609,7607
92,7608
1861,7620
26911,7621
8449,7624
8530,7626
4904,7627
17600,7628
7443,7630
27211,7631
5409,7632
4704,7640
3406,7641
10293,7642
10723,7643
24278,7644
7910,7645
16433,7646
5176,7647
5756,7648
8036,7649
19750,7650
26454,7652
8719,7656
11112,7657
12819,7660
11398,7661
5622,7662
13741,7663
39994,7666
14664,7670
26540,7675
9106,7676
5768,7677
23778,7701
3838,7702
387,7703
6108,7704
1364,7711
39099,7712
8901,7716
1941,7717
6143,7718
21769,7719
4298,7720
2998,7721
10146,7722
1160,7723
21758,7724
42520,7726
6851,7727
56270,7728
17374,7730
38382,7731
5112,7732
16583,7733
13217,7734
19800,7735
3966,7737
6363,7738
5939,7739
30879,7740
19724,7746
30332,7747
27398,7748
3280,7750
19014,7751
37041,7753
6618,7755
3242,7756
5575,7757
5631,7758
9141,7760
8401,7762
8317,7764
26118,7801
3663,7803
0,7820
9590,7821
808,7822
7546,7823
9641,7825
6385,7826
4297,7827
14184,7828
6480,7830
3718,7832
80,7833
17742,7834
13390,7836
3907,7838
29527,7840
116,7842
12241,7843
93,7846
1303,7847
4675,7848
9101,7849
7361,7850
74,7851
